,LATITUDE,LONGITUDE,SHELF,NewRegion,zone,FULLREEF_ID,REEF,REEF_SITE_NO,VISIT_NO,REPORT_YEAR,Year,Date,time,ACBX,ACTO,CBRN,MSE,COVER.HC,Chla,COTS_exp,Cycl_exp,DHW_exp,DINe,Mud,PAR,Sal,CIacute,TCI3_COTS,TCI5_COTS,DINriv,DHWpa,Cyclpa,COTSpa,sedWQI,Rel.Dist.shelf,Dist.barr,tot_Rivinflu
17,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,18,2010,2009,21/11/2009,20091121,3.9,4.2,6.6,10.3,28.7,0.086281586,0,0,1.61,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.020252447,0,0,0,0.0614,0.963402427,0.01499,5907.386277
18,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,19,2011,2011,27/01/2011,20110127,6.5,4,4.2,9.4,26.5,0.086281586,0,0,1.19,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.0285,0,1,0,0.0614,0.963402427,0.01499,8313.094727
19,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,20,2012,2012,17/02/2012,20120217,0.2,0.4,1.321052632,9.342105263,12.38421053,0.086281586,0,0,1.65,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
20,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,21,2013,2013,9/01/2013,20130109,0.2,0.8,1.5,11.2,15.8,0.086281586,0,0,0.16,0.183786083,5.00E-05,15.58085262,0,0,0,0,0,0,0,0,0.0614,0.963402427,0.01499,0
21,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,22,2014,2014,16/03/2014,20140316,0.1,1.2,3.6,10.6,18.3,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
22,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,23,2015,2015,5/03/2015,20150305,0.4,3.7,4.2,8.8,19,0.086281586,0,0,1.59,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
23,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,24,2016,2015,1/12/2015,20151201,0.3,4.1,4.6,16.6,28.7,0.086281586,0,0,1.59,0.183786083,5.00E-05,15.58085262,0,0,0,0,0,0,0,0,0.0614,0.963402427,0.01499,0
24,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,25,2017,2016,11/09/2016,20160911,0.2,3,4.6,2.8,13,0.086281586,0,0,7.06,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,1,0,0,0.0614,0.963402427,0.01499,0
25,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,26,2018,2017,16/12/2017,20171216,0,1.4,5.6,2.3,12.1,0.086281586,0,0,7.96,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,1,0,0,0.0614,0.963402427,0.01499,0
26,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,2,1994,1994,14/02/1994,19940214,1.540591398,3.276958525,4.160560676,8.585599078,19.14028418,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.001809344,0,0,0,0.0614,0.963402427,0.01499,527.7630326
27,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,3,1995,1995,12/04/1995,19950412,0.968482663,6.114662989,4.266405689,9.391829491,22.28105345,0.086281586,0,0,1.3,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.000387263,0,0,0,0.0614,0.963402427,0.01499,112.9598073
28,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 12,4,1996,1996,11/01/1996,19960111,1.342248278,8.199571934,5.468461354,11.85145037,29.50950786,0.086281586,0,0,1.3,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.001293133,0,0,0,0.0614,0.963402427,0.01499,377.1908016
